Name,Lap,Lap_Time,Rest_Time,Total_Time_Course,Total_Time_Rest,Distance,Drop,Status
Gavin Woody,40,51.36666666666667,8.616666666666667,2084.483333333333,314.85,166.66799999999998,YES,2
Guillaume Calmettes,23,58.06666666666667,1.9166666666666665,1190,189.61666666666667,95.83409999999999,YES,2
Maggie Guterl,60,54.4,5.583333333333333,3038.2,560.8,250.00199999999998,NO,1
Joe Fejes,20,56.43333333333333,3.55,1021.7166666666667,177.95000000000002,83.33399999999999,YES,2
David Johnston,15,57.21666666666667,2.7666666666666666,831.8833333333333,67.86666666666666,62.500499999999995,YES,2
Andres Villagran,38,56.833333333333336,3.15,1987.3666666666666,292,158.3346,YES,2
Shawn Webber,42,51.9,8.083333333333334,2236.25,283.05,175.0014,YES,2
Andy Pearson,28,55.016666666666666,4.966666666666667,1419.6166666666666,259.9166666666667,116.6676,YES,2
Marcy Beard,17,58.35,1.6333333333333333,974.5333333333333,45.18333333333333,70.8339,YES,2
Will Thomas,33,59.5,0.48333333333333334,1871.95,107.5,137.50109999999998,YES,2
Daniel Shamburg,29,55.55,4.433333333333334,1543.9166666666667,195.6,120.83429999999998,YES,2
Anatoly Ross,24,56.5,3.4833333333333334,1322.8833333333334,116.71666666666667,100.0008,YES,2
Jasmine Chiaramonte,20,56.38333333333333,3.6,1048.25,151.41666666666666,83.33399999999999,YES,2
Brian Trinkle,32,58.53333333333333,1.45,1741.85,177.61666666666667,133.3344,YES,2
Casey Thivierge,13,55.86666666666667,4.116666666666666,723.7166666666667,56.06666666666666,54.1671,YES,2
Sean O'Connor,31,56.483333333333334,3.5,1615.1,244.38333333333333,129.1677,YES,2
Troy Allen,26,57.9,2.0833333333333335,1383.65,175.91666666666666,108.3342,YES,2
Lisa Amundsson,24,53.516666666666666,6.466666666666667,1318.1833333333334,121.41666666666667,100.0008,YES,2
Perola Axelsson,11,57.233333333333334,2.75,620.5,39.31666666666666,45.83369999999999,YES,2
Cole Bataille,21,46.36666666666667,13.616666666666667,982.6833333333334,276.96666666666664,87.5007,YES,2
Amelia Boone,27,57.4,2.5833333333333335,1354.1333333333334,265.4166666666667,112.50089999999999,YES,2
Mark Buley,9,55.333333333333336,4.65,459.26666666666665,80.58333333333333,37.500299999999996,YES,2
Liz Canty,28,56.416666666666664,3.5666666666666664,1400.15,279.3833333333333,116.6676,YES,2
Anna Carlsson,37,49.8,10.183333333333334,1749.9666666666667,469.4166666666667,154.16789999999997,YES,2
Piotr Chadovich,30,40.46666666666667,19.516666666666666,1221.35,578.15,125.00099999999999,YES,2
Phil Mishka,11,57.3,2.6833333333333336,608.2666666666667,51.55,45.83369999999999,YES,2
Shenoa Creer,18,57.016666666666666,2.966666666666667,959.8666666666667,119.83333333333333,75.00059999999999,YES,2
Andy Emerson,25,59.1,0.8833333333333333,1361.7833333333333,137.8,104.16749999999999,YES,2
Marco Farinazzo,25,55.45,4.533333333333333,1091.4833333333333,408.1,104.16749999999999,YES,2
Derek Fox,28,55.833333333333336,4.15,1474.55,204.98333333333335,116.6676,YES,2
Patrick Gallagher,32,53.833333333333336,6.15,1581.9,337.56666666666666,133.3344,YES,2
Niclas Gallentoft,28,54.11666666666667,5.866666666666667,1376.95,302.5833333333333,116.6676,YES,2
David Giles,28,53.88333333333333,6.1,1282.2,397.3333333333333,116.6676,YES,2
Tobbe Gyllebring,43,57.78333333333333,2.2,2101,478.2833333333333,179.16809999999998,YES,2
Mark Haigney,11,58.81666666666667,1.1666666666666667,584.0833333333334,75.73333333333333,45.83369999999999,YES,2
Leon Hansen,28,57.666666666666664,2.3166666666666664,1486.9333333333334,192.6,116.6676,YES,2
Will Hayward,59,56.43333333333333,3.5666666666666664,3134.75,404.28333333333336,245.8353,YES,2
Mark Holcomb,25,54.083333333333336,5.9,1241.9,257.68333333333334,104.16749999999999,YES,2
Gabe Rainwater,36,58.68333333333333,1.3,1917.0833333333333,242.31666666666666,150.00119999999998,YES,2
Jeremy Kaiding,19,54.266666666666666,5.716666666666667,1001.8,137.88333333333333,79.1673,YES,2
Jan Kriska,25,56.233333333333334,3.75,1293.9333333333334,205.65,104.16749999999999,YES,2
Marc Laveson,13,42.416666666666664,17.566666666666666,691.3666666666667,88.41666666666667,54.1671,YES,2
Yvan L'Heureux,17,57.86666666666667,2.1166666666666667,958.5666666666667,61.15,70.8339,YES,2
Andreas Loeffler,36,58.93333333333333,1.05,1944.9833333333333,214.43333333333334,150.00119999999998,YES,2
John Logar,28,57.28333333333333,2.7,1447.4,232.13333333333333,116.6676,YES,2
Gaurav Madan,2,57.5,2.4833333333333334,112.61666666666667,7.3500000000000005,8.3334,YES,2
Grant Maughan,19,51.166666666666664,8.816666666666666,962.45,177.23333333333332,79.1673,YES,2
Philip McCarthy,20,56.3,3.6833333333333336,1026.8666666666666,172.8,83.33399999999999,YES,2
Mark McCaslin,9,58.733333333333334,1.25,486.53333333333336,53.31666666666666,37.500299999999996,YES,2
Harald Menzel,32,58.11666666666667,1.8666666666666667,1661.8833333333334,257.5833333333333,133.3344,YES,2
Nikolay Nachev,17,59.38333333333333,0.6,929.1666666666666,90.55,70.8339,YES,2
Sean Nakamura,24,52.333333333333336,7.65,1303.65,135.95,100.0008,YES,2
Thomas Oderud,31,58.916666666666664,1.0666666666666667,1643.7166666666667,215.76666666666668,129.1677,YES,2
Pernilla Otto,3,56.95,3.033333333333333,167,12.95,12.5001,YES,2
Andy Persson,33,55.266666666666666,4.716666666666667,1752.6,226.85,137.50109999999998,YES,2
Kale Poland,20,56.53333333333333,3.45,1087.4833333333333,112.18333333333334,83.33399999999999,YES,2
Brian Polen,28,57.18333333333333,2.8,1450.8166666666666,228.71666666666667,116.6676,YES,2
Dave Proctor,52,59.266666666666666,0.7166666666666667,2391.6833333333334,727.45,216.6684,YES,2
Chris Ragsdale,25,59.05,0.9333333333333333,1258.8333333333333,240.75,104.16749999999999,YES,2
Glen Redpath,29,59.13333333333333,0.85,1571.6333333333334,167.88333333333333,120.83429999999998,YES,2
Don Reichelt,31,56.2,3.783333333333333,1553.1333333333334,306.35,129.1677,YES,2
Peter Ripmaster,16,57.916666666666664,2.066666666666667,876.2833333333333,83.45,66.6672,YES,2
Will Rivera,37,52.96666666666667,7.016666666666667,1902.5833333333333,316.8,154.16789999999997,YES,2
John Sharp,13,58.63333333333333,1.35,731.2166666666667,48.56666666666667,54.1671,YES,2
Matthew Shepard,26,52.9,7.083333333333333,1182.9333333333334,376.6333333333333,108.3342,YES,2
Andrew Smith,18,57.333333333333336,2.65,963.8833333333333,115.81666666666666,75.00059999999999,YES,2
Matt Smith,29,56.61666666666667,3.3666666666666667,1480.1166666666668,259.4,120.83429999999998,YES,2
Chris Stevens,13,47.45,12.533333333333333,644.0833333333334,135.7,54.1671,YES,2
Gregory Trapp,26,55.416666666666664,4.566666666666666,1338.7166666666667,220.85,108.3342,YES,2
Katie Wright,50,56.96666666666667,3.0166666666666666,2638.0333333333333,361.1333333333333,208.33499999999998,YES,2
Ben Yancey,15,58.68333333333333,1.3,860.9666666666667,38.78333333333333,62.500499999999995,YES,2
Robert Youngren,8,55.71666666666667,4.266666666666667,406.6333333333333,73.23333333333333,33.3336,YES,2
